File, P1, P2, Date, Workers, Time Start, Time End, Collection, Magazine Name, Structure, Sheet Notes, Volume, Year, Date Start, Date End, Issue Start, Issue End, Type, Notes, Other Data
http://static.free-dissociation.com/magventory/mag-121.jpg, mkr, mgentile555, Feb. 2; 2007, , 12:50, 2:05, "New Book" Shelf, Absolute Magnitude, other, , , 2000, sum, , 14, , U, 
http://static.free-dissociation.com/magventory/mag-121.jpg, mkr, mgentile555, Feb. 2; 2007, , 12:50, 2:05, "New Book" Shelf, Absolute Magnitude, other, , , 2001, spr, , 15, , U, 
http://static.free-dissociation.com/magventory/mag-121.jpg, mkr, mgentile555, Feb. 2; 2007, , 12:50, 2:05, "New Book" Shelf, Absolute Magnitude, other, , , 2001, sum, , 16, , U, 
http://static.free-dissociation.com/magventory/mag-121.jpg, mkr, mgentile555, Feb. 2; 2007, , 12:50, 2:05, "New Book" Shelf, Absolute Magnitude, other, , , 2002, aut, , 17, , U, 
http://static.free-dissociation.com/magventory/mag-121.jpg, mkr, mgentile555, Feb. 2; 2007, , 12:50, 2:05, "New Book" Shelf, Absolute Magnitude, other, , , 2005, spr, , 21, , U, 
http://static.free-dissociation.com/magventory/mag-122.jpg, mkr, mgentile555, Feb. 2; 2007, , , , , Absolute Magnitude and Aboriginal Science Fiction, other, , , 2002, spr, , 18, , U, 
http://static.free-dissociation.com/magventory/mag-122.jpg, mkr, mgentile555, Feb. 2; 2007, , , , , Absolute Magnitude and Aboriginal Science Fiction, other, , , 2002, sum, , 19, , U, 
http://static.free-dissociation.com/magventory/mag-122.jpg, mkr, mgentile555, Feb. 2; 2007, , , , , Absolute Magnitude and Aboriginal Science Fiction, other, , , 2003, sum, , 20, , U, 
http://static.free-dissociation.com/magventory/mag-123.jpg, mkr, mgentile555, Feb 2; 2007, , , , "New book" shelf, Aboriginal Science Fiction, other, , , 1996, spr, , 47/48, , U, "Special double issue"
http://static.free-dissociation.com/magventory/mag-123.jpg, mkr, mgentile555, Feb 2; 2007, , , , "New book" shelf, Aboriginal Science Fiction, other, , , 2000, spr, , 63, , U, 
http://static.free-dissociation.com/magventory/mag-123.jpg, mkr, mgentile555, Feb 2; 2007, , , , "New book" shelf, Aboriginal Science Fiction, other, , , 2001, spr, , 65, , U, 
http://static.free-dissociation.com/magventory/mag-124.jpg, mkr, mgentile555, Feb 2; 2007, , , , "New Book" Shelf, Paradox, other, , , 03, spr, , 1, , U, 
http://static.free-dissociation.com/magventory/mag-124.jpg, mkr, mgentile555, Feb 2; 2007, , , , "New Book" Shelf, Paradox, other, , , 03, sum, , 2, , U, 
http://static.free-dissociation.com/magventory/mag-124.jpg, mkr, mgentile555, Feb 2; 2007, , , , "New Book" Shelf, Paradox, other, , , 03, aut, , 3, , U, 
http://static.free-dissociation.com/magventory/mag-124.jpg, mkr, mgentile555, Feb 2; 2007, , , , "New Book" Shelf, Paradox, other, , , 04, sum, , 5, , U, 
http://static.free-dissociation.com/magventory/mag-124.jpg, mkr, mgentile555, Feb 2; 2007, , , , "New Book" Shelf, Paradox, other, , , 04-05, win, , 6, , U, 
http://static.free-dissociation.com/magventory/mag-124.jpg, mkr, mgentile555, Feb 2; 2007, , , , "New Book" Shelf, Paradox, other, , , 05, sum, , 7, , U, 
http://static.free-dissociation.com/magventory/mag-124.jpg, mkr, mgentile555, Feb 2; 2007, , , , "New Book" Shelf, Paradox, other, , , 05-06, win, , 8, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 2002, nov/dec, , 184, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 2004, spr, , 193, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 2004, sep/oct, , 194, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 2004, nov/dec, , 195, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 2005, jan/feb, , 196, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 2005, mar/apr, , 197, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 05, may/jun, , 198, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 05, aug, , 199, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 05, oct, , 200, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 05, dec, , 201, , U, 
http://static.free-dissociation.com/magventory/mag-125.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Interzone, , , , 06, Jun, , 204, , U, 
http://static.free-dissociation.com/magventory/mag-126.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Rigel, quarterly, , , 1981, sum, , 1, , B, [all entries are] One volume
http://static.free-dissociation.com/magventory/mag-126.jpg, mkr, mgentile555, Feb 2; 2007, , , , "new book" shelf, Rigel, quarterly, , , 1981, fall, , 2, B, B, 
