File, P1, P2, Date, Workers, Time Start, Time End, Collection, Magazine Name, Structure, Sheet Notes, Volume, Year, Date Start, Date End, Issue Start, Issue End, Type, Notes, Other Data
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 36, 1945-6, Sept, Feb, 1, 6, B, , Contained in which binding: 
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 36, 1946, Jan, Feb, 5, 6, B, bad binding/bad condition, Contained in which binding: 1 binding A
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 37, 1946, March, June, 1, 4, B, , Contained in which binding: 1 binding A
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 37, 1946, July, Aug, 5, 6, B, , Contained in which binding: 1 binding B
http://static.free-dissociation.com/magventory/scn.12.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, 1356, ->, circulating, Astounding Stories, monthly, , 38, 1946, Sept, Dec, 1, 4, B, , Contained in which binding: 1 binding B
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 38, 1947, Jan, Feb, 5, 6, B, , Bindings (by year): binding 1947A
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 39, 1947, March, Jun, 1, 4, B, , Bindings (by year): binding 1947A
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 39, 1947, July, Aug, 5, 6, B, , Bindings (by year): binding 1947B
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 40, 1947, Sept, Dec, 1, 4, B, , Bindings (by year): binding 1947B
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 40, 1948, Jan, Feb, 5, 6, B, , Bindings (by year): binding 1948A
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 41, 1948, March, June, 1, 4, B, typo? (compare with preceding and following vol numbers), Bindings (by year): binding 1948A
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 50, 1948, March, March, 1, 1, B, typo? (compare with preceding and following vol numbers), Bindings (by year): binding 1948B
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 41, 1948, April, Aug, 2, 6, B, , Bindings (by year): binding 1948B
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 42, 1948-9, Sept, Feb, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 43, 1949, March, Aug, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 44, 1949-50, Sept, Feb, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 45, 1950, March, Aug, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 46, 1950-1, Sept, Feb, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 47, 1951, Mar, Aug, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 48, 1951-2, Sept, Feb, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 49, 1952, Mar, Aug, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 50, 1952-3, Sept, Feb, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 51, 1953, Mar, Aug, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 52, 1953-4, Sept, Feb, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 53, 1954, Mar, Aug, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 54, 1954-5, Sept, Feb, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 55, 1955, Mar, Aug, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 56, 1955-6, Sept, Feb, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.13.jpg, dnawi, kevinr, November 12; 2006, Kelsey; Sharmin, <-, ->, circulating, Astounding Stories, monthly, , 57, 1956, Mar, Aug, 1, 6, B, , Bindings (by year): 
http://static.free-dissociation.com/magventory/scn.14.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, <-, 1428, circulating, Astounding Stories, monthly, , 58, 1956-7, Sept, Feb, 1, 6, B, 
http://static.free-dissociation.com/magventory/scn.14.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, <-, 1428, circulating, Astounding Stories, monthly, , 59, 1957, Mar, Aug, 1, 6, B, 
http://static.free-dissociation.com/magventory/scn.14.jpg, dnawi, kevinr, November 12; 2006, Sharmin; Kelsey, <-, 1428, circulating, Astounding Stories, monthly, , 59, 1957, Apr, Apr, 2, 2, U, 
